+---------------+-----------------------------------------------------------------+--------------------------------------------------------------------------------------+
| ISBN          | bname                                                           | author                                                                               |
+---------------+-----------------------------------------------------------------+--------------------------------------------------------------------------------------+
| 9787020053087 | 日瓦戈医生                                                      | 〔苏〕鲍里斯·帕斯捷尔纳克                                                            |
| 9787500680376 | 出埃及记                                                        | （美）里昂·尤里斯                                                                    |
| 9787532732944 | 喧哗与骚动                                                      | (美)威廉﹒福克纳                                                                     |
| 9787805985824 | 世说新语                                                        | <南朝宋>刘义庆著                                                                     |
| 9787543448377 | 博尔赫斯诗选                                                    | （阿根廷）博尔赫斯                                                                   |
| 9787020066919 | 城南旧事                                                        | 林海音                                                                               |
| 9787532733415 | 夏洛的网                                                        | [美]E.B.怀特                                                                         |
| 9787539952680 | 银河帝国3：第二基地                                             | [美]艾萨克·阿西莫夫                                                                  |
| 9787532757350 | 宇宙尽头的餐馆                                                  | [英]道格拉斯·亚当斯                                                                  |
| 9787533916367 | 小径分岔的花园                                                  | [阿根廷]博尔赫斯                                                                     |
| 9787540701758 | 受戒                                                            | 汪曾祺                                                                               |
| 9787807240648 | 狂人日记                                                        | 鲁迅                                                                                 |
| 9787108006684 | 倚天屠龙记                                                      | 金庸                                                                                 |
| 9787506335058 | 生死疲劳                                                        | 莫言                                                                                 |
| 9787533917067 | 变形记                                                          | [奥]卡夫卡                                                                           |
| 9787801876942 | 九州·缥缈录                                                     | 江南                                                                                 |
| 9787111200505 | 彼得·林奇的成功投资                                             | [美]彼得·林奇/约翰·罗瑟查尔德                                                        |
| 9787561334386 | 京华烟云                                                        | 林语堂                                                                               |
| 9787532740109 | 蝇王                                                            | [英]威廉·戈尔丁                                                                      |
| 9787020056293 | 罗杰疑案                                                        | [英]阿加莎·克里斯蒂                                                                  |
| 9787020069651 | 失物之书                                                        | [爱尔兰]约翰·康诺利                                                                  |
| 9787100017510 | 利维坦                                                          | [英]霍布斯                                                                           |
| 9787539921624 | 红拂夜奔                                                        | 王小波                                                                               |
| 9787544705837 | 荆棘鸟                                                          | 考琳•麦卡洛(ColleenMcCullough)                                                       |
| 9787805638195 | 美的历程                                                        | 李泽厚                                                                               |
| 9787020056088 | 尼罗河上的惨案                                                  | [英]阿加莎·克里斯蒂                                                                  |
| 9787544717441 | 发条橙                                                          | [英]安东尼·伯吉斯                                                                    |
| 9787805200552 | 西游记                                                          | 吴承恩                                                                               |
| 9787805673813 | 尤利西斯                                                        | [爱尔兰]詹姆斯·乔伊斯                                                                |
| 9787020050253 | 生死场                                                          | 萧红                                                                                 |
| 9787111080787 | 编码的奥秘                                                      | CharlesPetzold                                                                       |
| 9787539958774 | 神的九十亿个名字                                                | [英]阿瑟·克拉克                                                                      |
| 9787020028504 | 霸王别姬                                                        | 李碧华                                                                               |
| 9787544707923 | 朗读者                                                          | [德]本哈德·施林克                                                                    |
| 9787508031590 | 时间的女儿                                                      | JosephineTey                                                                         |
| 9787115130228 | CPrimerPlus                                                     | StephenPrata/云巅工作室                                                              |
| 9787111213826 | Java编程思想（第4版）                                           | [美]BruceEckel                                                                       |
| 9787532746323 | 到灯塔去                                                        | (英)弗吉尼亚·伍尔夫                                                                  |
| 9787532752508 | 鼠疫                                                            | （法）加缪                                                                           |
| 9787544716888 | 奇风岁月                                                        | [美国]罗伯特·麦卡蒙                                                                  |
| 9787020043804 | 洗澡                                                            | 杨绛                                                                                 |
| 9787305087783 | 焚舟纪                                                          | [英]安吉拉·卡特                                                                      |
| 9787544264013 | 没有人给他写信的上校                                            | [哥伦比亚]加西亚·马尔克斯                                                            |
| 9787544265591 | 雪国                                                            | 川端康成                                                                             |
